production_budget_usd,worldwide_gross_usd
45000000,363095319
45000000,377807404
45000000,358500000
45000000,155200000
45000000,213420951
45000000,185736412
45000000,243180937
45000000,187995859
45000000,122071435
45000000,174807445
45000000,117615211
45000000,160971922
45000000,178100000
45000000,155931301
45000000,104505362
45000000,174278214
45000000,90523726
45000000,141189101
45000000,131237688
45000000,76665507
45000000,135808837
45000000,66790248
45000000,136998907
45000000,113417762
45000000,68406338
45000000,113916474
45000000,246821053
45000000,58617334
45000000,170362581
45000000,115097874
45000000,75854588
45000000,72359917
45000000,55842724
45000000,102746214
45000000,149871103
45000000,48563556
45000000,82513490
45000000,94215000
45000000,127990741
45000000,57697426
45000000,43343247
45000000,65595141
45000000,35627222
45000000,61453420
45000000,71856239
45000000,49610898
45000000,161735791
45000000,27449336
45000000,59551283
45000000,29367143
45000000,79604820
45000000,70216497
45000000,43100570
45000000,112006296
45000000,36404841
45000000,28363146
45000000,20133326
45000000,29406132
45000000,32952995
45000000,17220599
45000000,17492014
45000000,65532491
45000000,18120267
45000000,46598133
45000000,34668249
45000000,41467606
45000000,21544732
45000000,11203026
45000000,13086137
45000000,37321081
45000000,164640401
43000000,63078756
43000000,34983342
43000000,46414530
42500000,76347393
42000000,270340892
42000000,202812429
42000000,363718196
42000000,218786590
42000000,227793915
42000000,173044410
42000000,131052444
42000000,138708527
42000000,71000000
42000000,57852177
42000000,73239258
42000000,63781100
42000000,41267469
42000000,91678442
42000000,56438555
42000000,156167015
42000000,41926605
42000000,36197221
42000000,56331864
42000000,60437727
42000000,20844907
42000000,66787173
42000000,49621440
42000000,8514325
42000000,4408420
42000000,18821576
41000000,245768384
41000000,192137020
41000000,100622586
41000000,22108977
41000000,7684524
40000000,672806292
40000000,283218368
40000000,351774938
40000000,325674995
40000000,570794950
40000000,312604801
40000000,314709717
40000000,257858943
40000000,190212113
40000000,457507776
40000000,149804632
40000000,331971881
40000000,177835231
40000000,167851995
40000000,152266007
40000000,132440066
40000000,310399793
40000000,224922135
40000000,131516178
40000000,181053657
40000000,171317271
40000000,124827316
40000000,178710620
40000000,111711453
40000000,161838076
40000000,244087268
40000000,152962083
40000000,156553592
40000000,195111193
40000000,215862692
40000000,120455994
40000000,128792135
40000000,197115710
40000000,75505856
40000000,124823094
40000000,158527918
40000000,162498338
40000000,150886329
40000000,92302502
40000000,70836296
40000000,205400000
40000000,137047376
40000000,133365452
40000000,55249159
40000000,191200000
40000000,121032272
40000000,146196885
40000000,49851591
40000000,92110539
40000000,92256918
40000000,65282732
40000000,106548738
40000000,45916769
40000000,44948240
40000000,58250151
40000000,86778557
40000000,155011165
40000000,75984700
40000000,50071069
40000000,128884494
40000000,103429755
40000000,126069509
40000000,95989590
40000000,38087756
40000000,90717684
40000000,101162106
40000000,41294674
40000000,72295262
40000000,96398826
40000000,118509836
40000000,51867723
40000000,34420595
40000000,53864342
40000000,77303614
40000000,55696705
40000000,47787943
40000000,49686263
40000000,52837989
40000000,55247881
40000000,31835600
40000000,112930957
40000000,59795070
40000000,46666955
40000000,53624424
40000000,40390931
40000000,69817991
40000000,40435694
40000000,31670620
40000000,28544120
40000000,57438389
40000000,27682712
40000000,27053815
40000000,314101190
40000000,78269970
40000000,31192425
40000000,65754228
40000000,62226214
40000000,91126600
40000000,24172899
40000000,38172500
40000000,22505932
40000000,22365133
40000000,125729635
40000000,46176322
40000000,47001091
40000000,27506412
40000000,37750754
40000000,20278055
40000000,25268680
40000000,169590606
40000000,20790486
40000000,26033563
40000000,60862471
40000000,29312121
40000000,19417182
40000000,14942422
40000000,28804426
40000000,14448589
40000000,14375181
40000000,14358033
40000000,19756077
40000000,39753957
40000000,21156715
40000000,30230402
40000000,6341825
40000000,915840
40000000,7729552
40000000,20722450
40000000,119627047
40000000,463730
40000000,79123
39000000,102332135
39000000,80200000
39000000,69538833
39000000,81150788
39000000,37956589
39000000,40319440
39000000,26796824
39000000,6429865
38600000,57987299
38000000,206458372
38000000,182365114
38000000,205298907
38000000,119721296
38000000,120000000
38000000,126422949
38000000,107650646
38000000,61894591
38000000,117425156
38000000,116809717
38000000,105887837
38000000,73956241
38000000,94763758
38000000,57753825
38000000,50970660
38000000,111336398
38000000,49678401
38000000,98230839
38000000,29544532
38000000,24515990
38000000,39178189
38000000,39877788
38000000,58394308
38000000,24555177
38000000,17378193
38000000,27573078
38000000,19317765
38000000,12668325
38000000,15779653
38000000,10229300
38000000,17831558
38000000,6504442
38000000,14636067
38000000,623374
37500000,125818440
37500000,88473016
37500000,50879131
37500000,9813309
37000000,402280159
37000000,267816276
37000000,173567581
37000000,152566881
37000000,96068724
37000000,117378084
37000000,168167798
37000000,97658712
37000000,53143144
37000000,101857425
37000000,100003780
37000000,55909910
37000000,97143987
37000000,67029956
35200000,38283765
35000000,701083042
35000000,465487583
35000000,305705794
35000000,411348924
35000000,312383487
35000000,252276928
35000000,319700000
35000000,245300000
35000000,175361578
35000000,326073155
35000000,212417601
35000000,197692062
35000000,141123897
35000000,114962525
35000000,139000000
35000000,159846429
35000000,218535708
35000000,182291969
35000000,231710008
35000000,122357172
35000000,102115888
35000000,90221182
35000000,126204977
35000000,83109359
35000000,83226569
35000000,117729621
35000000,85911226
35000000,113354449
35000000,65063726
35000000,60376247
35000000,56968169
35000000,146595891
35000000,108757621
35000000,96096018
35000000,53293628
35000000,76346094
35000000,95104304
35000000,48169910
35000000,95713069
35000000,93291478
35000000,71118378
35000000,89102315
35000000,58405313
35000000,70187088
35000000,65303052
35000000,87775050
35000000,103787401
35000000,77392139
35000000,65084116
35000000,46309644
35000000,165103952
35000000,75281179
35000000,84606030
35000000,53425292
35000000,66295121
35000000,45671512
35000000,50363790
35000000,145374099
35000000,116148537
35000000,99423000
35000000,33422806
35000000,33500620
35000000,111854182
35000000,70064800
35000000,68712365
35000000,57897191
35000000,77220596
35000000,81209222
35000000,30307804
35000000,97799865
35000000,52649951
35000000,54768418
35000000,86648359
35000000,27181462
35000000,73026302
35000000,26613620
35000000,35426759
35000000,37066129
35000000,33771965
35000000,63211088
35000000,14471440
35000000,61721826
35000000,13601109
35000000,27805632
35000000,12506188
35000000,24405825
35000000,31878891
35000000,18376443
35000000,10319915
35000000,12254746
35000000,13214051
35000000,61492104
35000000,15461638
35000000,29890402
35000000,10157534
35000000,11559747
35000000,42064105
35000000,28720470
35000000,43164679
35000000,16830252
35000000,6448817
35000000,32717063
35000000,24687524
35000000,4651977
35000000,4496583
35000000,11846010
35000000,2221994
35000000,2000000
35000000,1500000
35000000,1320043
35000000,630779
35000000,17967746
35000000,786532
34800000,62831715
34000000,228104185
34000000,348319861
34000000,63802928
34000000,32014993
34000000,205162666
34000000,38361428
34000000,11263966
34000000,10672566
34000000,14291999
34000000,62582520
33500000,50000000
33000000,236500000
33000000,173559438
33000000,79958599
33000000,75898100
33000000,165552290
33000000,62020814
33000000,54533774
33000000,47267829
33000000,42663460
33000000,37021955
33000000,41495213
33000000,21621188
33000000,8408835
33000000,27610873
33000000,357687
33000000,70958
32500000,475106177
32500000,289632023
32500000,112964875
32500000,48425971
32500000,24159934
32000000,222339732
32000000,152036382
32000000,126539117
32000000,116898028
32000000,99296462
32000000,59450796
32000000,70587268
32000000,4357406
32000000,3588602
32000000,2899970
32000000,6678033
31500000,85915469
31500000,38771262
31000000,97470701
31000000,160558438
31000000,106282604
31000000,210300000
31000000,163503514
31000000,102306500
31000000,53208180
31000000,48791187
31000000,68079671
31000000,30885781
31000000,15826984
31000000,7220490
30250000,115021008
30000000,295212467
30000000,365270951
30000000,238099711
30000000,306770545
30000000,228641283
30000000,286500000
30000000,197618160
30000000,283200000
30000000,200500000
30000000,177025498
30000000,136771683
30000000,212453431
30000000,167791704
30000000,191502246
30000000,212400000
30000000,165334774
30000000,176885658
30000000,181489203
30000000,231928227
30000000,328125643
30000000,156822020
30000000,106030660
30000000,163644662
30000000,142051255
30000000,115937163
30000000,169173206
30000000,160247805
30000000,103284813
30000000,183428327
30000000,74787599
30000000,92494381
30000000,160502573
30000000,170466405
30000000,114834312
30000000,107054484
30000000,122529966
30000000,71172251
30000000,246100000
30000000,133085295
30000000,105173042
30000000,61950770
30000000,95857262
30000000,64170447
30000000,81529000
30000000,115150424
30000000,65121280
30000000,162279328
30000000,150832086
30000000,197593152
30000000,155769678
30000000,114770654
30000000,65859911
30000000,82148538
30000000,83282296
30000000,52880016
30000000,94156456
30000000,70200000
30000000,98345423
30000000,62432423
30000000,51618420
30000000,80276156
30000000,38747385
30000000,41457834
30000000,81613606
30000000,84646831
30000000,38122000
30000000,80588942
30000000,56096200
30000000,51327406
30000000,61449135
30000000,82409520
30000000,123432533
30000000,65390493
30000000,48575965
30000000,102716321
30000000,46438538
30000000,38462071
30000000,66742138
30000000,48559999
30000000,87956618
30000000,33339868
30000000,53296424
30000000,61623819
30000000,30089110
30000000,50145607
30000000,29203383
30000000,28986358
30000000,25947983
30000000,23998226
30000000,26708196
30000000,108957098
30000000,60772856
30000000,96890794
30000000,21827296
30000000,21360215
30000000,67255916
30000000,21709539
30000000,33296659
30000000,21758371
30000000,36040895
30000000,60512680
30000000,19035741
30000000,263502914
30000000,30962112
30000000,23676771
30000000,40520649
30000000,42531076
30000000,35579007
30000000,36722311
30000000,19892205
30000000,28542494
30000000,32955399
30000000,26323969
30000000,16295774
30000000,32262866
30000000,29698671
30000000,27147991
30000000,16873925
30000000,15358583
30000000,21577076
30000000,26184400
30000000,12885574
30000000,48330757
30000000,12017369
30000000,11578022
30000000,44348292
30000000,17865209
30000000,19599974
30000000,23353111
30000000,58228460
30000000,10419084
30000000,17121823
30000000,18535575
30000000,16481405
30000000,32825218
30000000,64352607
30000000,8845575
30000000,7005468
30000000,12868552
30000000,168832
29200000,5466698
29000000,287215196
29000000,187707495
29000000,103113446
29000000,78652207
29000000,168841459
29000000,97413527
29000000,51636504
29000000,45336404
29000000,49046121
29000000,56000339
29000000,54045832
29000000,26567902
29000000,28452945
29000000,24716190
29000000,20146150
29000000,33013805
29000000,10066366
29000000,25899797
28700000,4559569
28500000,15452978
28000000,504050219
28000000,333080271
28000000,202182981
28000000,140886353
28000000,140894685
28000000,139434346
28000000,258210860
28000000,105159085
28000000,127710550
28000000,94050951
28000000,133162752
28000000,95607360
28000000,94500826
28000000,101379287
28000000,64474705
28000000,112914167
28000000,94728529
28000000,103452875
28000000,195300000
28000000,77024944
28000000,71430876
